頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002801008,2801,彰銀,上市,股票,金融保險業,1962/02/15,ESVUFR,
2,TW0002809001,2809,京城銀,上市,股票,金融保險業,1983/07/20,ESVUFR,
3,TW0002812005,2812,台中銀,上市,股票,金融保險業,1984/05/15,ESVUFR,
4,TW0002816006,2816,旺旺保,上市,股票,金融保險業,1992/05/05,ESVUFR,
5,TW0002820008,2820,華票,上市,股票,金融保險業,1994/10/26,ESVUFR,
6,TW0002823002,2823,中壽,上市,股票,金融保險業,1995/02/08,ESVUFR,
7,TW0002832003,2832,台產,上市,股票,金融保險業,1997/09/30,ESVUFR,
8,TW0002834009,2834,臺企銀,上市,股票,金融保險業,1998/01/03,ESVUFR,
9,TW0002836004,2836,高雄銀,上市,股票,金融保險業,1998/05/18,ESVUFR,
10,TW0002838000,2838,聯邦銀,上市,股票,金融保險業,1998/06/29,ESVUFR,
11,TW0002845005,2845,遠東銀,上市,股票,金融保險業,1998/11/27,ESVUFR,
12,TW0002849007,2849,安泰銀,上市,股票,金融保險業,1999/09/27,ESVUFR,
13,TW0002850005,2850,新產,上市,股票,金融保險業,2000/05/22,ESVUFR,
14,TW0002851003,2851,中再保,上市,股票,金融保險業,2000/07/06,ESVUFR,
15,TW0002852001,2852,第一保,上市,股票,金融保險業,2000/11/28,ESVUFR,
16,TW0002855004,2855,統一證,上市,股票,金融保險業,2002/09/16,ESVUFR,
17,TW0002867009,2867,三商壽,上市,股票,金融保險業,2012/12/18,ESVUFR,
18,TW0002880002,2880,華南金,上市,股票,金融保險業,2001/12/19,ESVUFR,
19,TW0002881000,2881,富邦金,上市,股票,金融保險業,2001/12/19,ESVUFR,
20,TW0002882008,2882,國泰金,上市,股票,金融保險業,2001/12/31,ESVUFR,
21,TW0002883006,2883,開發金,上市,股票,金融保險業,2001/12/28,ESVUFR,
22,TW0002884004,2884,玉山金,上市,股票,金融保險業,2002/01/28,ESVUFR,
23,TW0002885001,2885,元大金,上市,股票,金融保險業,2002/02/04,ESVUFR,
24,TW0002886009,2886,兆豐金,上市,股票,金融保險業,2002/02/04,ESVUFR,
25,TW0002887007,2887,台新金,上市,股票,金融保險業,2002/02/18,ESVUFR,
26,TW0002888005,2888,新光金,上市,股票,金融保險業,2002/02/19,ESVUFR,
27,TW0002889003,2889,國票金,上市,股票,金融保險業,2002/03/26,ESVUFR,
28,TW0002890001,2890,永豐金,上市,股票,金融保險業,2002/05/09,ESVUFR,
29,TW0002891009,2891,中信金,上市,股票,金融保險業,2002/05/17,ESVUFR,
30,TW0002892007,2892,第一金,上市,股票,金融保險業,2003/01/02,ESVUFR,
31,TW0002897006,2897,王道銀行,上市,股票,金融保險業,2017/05/05,ESVUFR,
32,TW0005876007,5876,上海商銀,上市,股票,金融保險業,2018/10/19,ESVUFR,
33,TW0005880009,5880,合庫金,上市,股票,金融保險業,2011/12/01,ESVUFR,
34,TW0006005002,6005,群益證,上市,股票,金融保險業,2005/11/21,ESVUFR,
35,TW0006024003,6024,群益期,上市,股票,金融保險業,2017/10/16,ESVUFR,
